用户ID,商品ID,评分,时间戳,商品类别,商品价格,用户年龄,用户性别,用户城市,行为类型
U001,P001,5,2023-12-01 10:30:00,电子产品,2999,25,男,北京,购买
U001,P015,4,2023-12-02 14:20:00,服装,299,25,男,北京,购买
U001,P032,3,2023-12-03 09:15:00,图书,89,25,男,北京,浏览
U001,P045,5,2023-12-04 16:45:00,电子产品,1599,25,男,北京,购买
U002,P002,4,2023-12-01 11:00:00,服装,199,32,女,上海,购买
U002,P018,5,2023-12-02 15:30:00,美妆,159,32,女,上海,购买
U002,P025,3,2023-12-03 12:20:00,家居,399,32,女,上海,浏览
U002,P038,4,2023-12-04 18:10:00,服装,259,32,女,上海,购买
U003,P003,3,2023-12-01 13:45:00,图书,45,28,男,广州,购买
U003,P019,4,2023-12-02 10:15:00,电子产品,899,28,男,广州,购买
U003,P033,5,2023-12-03 14:30:00,运动,299,28,男,广州,购买
U003,P047,2,2023-12-04 11:20:00,图书,69,28,男,广州,浏览
U004,P004,5,2023-12-01 16:20:00,美妆,89,24,女,深圳,购买
U004,P020,3,2023-12-02 13:40:00,服装,399,24,女,深圳,浏览
U004,P026,4,2023-12-03 17:15:00,美妆,129,24,女,深圳,购买
U004,P039,5,2023-12-04 12:30:00,家居,199,24,女,深圳,购买
U005,P005,4,2023-12-01 09:30:00,运动,599,35,男,杭州,购买
U005,P021,5,2023-12-02 16:45:00,电子产品,1299,35,男,杭州,购买
U005,P034,3,2023-12-03 11:10:00,运动,199,35,男,杭州,浏览
U005,P048,4,2023-12-04 15:20:00,图书,99,35,男,杭州,购买
U006,P006,3,2023-12-01 14:15:00,家居,299,29,女,成都,购买
U006,P022,4,2023-12-02 12:30:00,美妆,199,29,女,成都,购买
U006,P027,5,2023-12-03 18:45:00,服装,459,29,女,成都,购买
U006,P040,3,2023-12-04 10:50:00,家居,359,29,女,成都,浏览
U007,P007,5,2023-12-01 17:30:00,电子产品,3999,31,男,武汉,购买
U007,P023,4,2023-12-02 14:15:00,运动,399,31,男,武汉,购买
U007,P035,3,2023-12-03 16:20:00,电子产品,799,31,男,武汉,浏览
U007,P049,5,2023-12-04 13:40:00,图书,129,31,男,武汉,购买
U008,P008,4,2023-12-01 12:45:00,服装,329,26,女,西安,购买
U008,P024,3,2023-12-02 17:20:00,美妆,99,26,女,西安,浏览
U008,P028,5,2023-12-03 15:30:00,服装,299,26,女,西安,购买
U008,P041,4,2023-12-04 14:10:00,家居,249,26,女,西安,购买
U009,P009,3,2023-12-01 15:10:00,图书,59,33,男,南京,购买
U009,P016,4,2023-12-02 11:25:00,电子产品,1599,33,男,南京,购买
U009,P029,5,2023-12-03 13:15:00,运动,459,33,男,南京,购买
U009,P042,3,2023-12-04 16:30:00,图书,79,33,男,南京,浏览
U010,P010,5,2023-12-01 18:20:00,美妆,159,27,女,重庆,购买
U010,P017,4,2023-12-02 09:40:00,服装,399,27,女,重庆,购买
U010,P030,3,2023-12-03 12:50:00,美妆,119,27,女,重庆,浏览
U010,P043,5,2023-12-04 17:15:00,家居,299,27,女,重庆,购买
U011,P011,4,2023-12-01 10:15:00,运动,299,30,男,天津,购买
U011,P001,5,2023-12-02 15:45:00,电子产品,2999,30,男,天津,购买
U011,P031,3,2023-12-03 14:20:00,运动,199,30,男,天津,浏览
U011,P044,4,2023-12-04 11:35:00,图书,109,30,男,天津,购买
U012,P012,3,2023-12-01 13:30:00,家居,399,28,女,青岛,购买
U012,P002,4,2023-12-02 16:10:00,服装,199,28,女,青岛,购买
U012,P018,5,2023-12-03 10:40:00,美妆,159,28,女,青岛,购买
U012,P045,3,2023-12-04 15:50:00,电子产品,1599,28,女,青岛,浏览
U013,P013,5,2023-12-01 11:45:00,电子产品,1299,34,男,大连,购买
U013,P003,4,2023-12-02 14:30:00,图书,45,34,男,大连,购买
U013,P019,3,2023-12-03 17:10:00,电子产品,899,34,男,大连,浏览
U013,P046,5,2023-12-04 12:15:00,运动,359,34,男,大连,购买
U014,P014,4,2023-12-01 16:50:00,美妆,129,25,女,厦门,购买
U014,P004,5,2023-12-02 13:20:00,美妆,89,25,女,厦门,购买
U014,P020,3,2023-12-03 15:40:00,服装,399,25,女,厦门,浏览
U014,P047,4,2023-12-04 18:25:00,图书,69,25,女,厦门,购买
U015,P015,3,2023-12-01 12:10:00,服装,299,29,男,苏州,购买
U015,P005,4,2023-12-02 17:35:00,运动,599,29,男,苏州,购买
U015,P021,5,2023-12-03 11:50:00,电子产品,1299,29,男,苏州,购买
U015,P048,3,2023-12-04 14:45:00,图书,99,29,男,苏州,浏览
U016,P016,4,2023-12-01 14:25:00,电子产品,1599,31,女,长沙,购买
U016,P006,3,2023-12-02 10:55:00,家居,299,31,女,长沙,浏览
U016,P022,5,2023-12-03 16:15:00,美妆,199,31,女,长沙,购买
U016,P049,4,2023-12-04 13:30:00,图书,129,31,女,长沙,购买
U017,P017,5,2023-12-01 17:40:00,服装,399,26,女,郑州,购买
U017,P007,4,2023-12-02 12:20:00,电子产品,3999,26,女,郑州,购买
U017,P023,3,2023-12-03 18:30:00,运动,399,26,女,郑州,浏览
U017,P050,5,2023-12-04 15:10:00,美妆,179,26,女,郑州,购买
U018,P018,4,2023-12-01 09:50:00,美妆,159,32,男,济南,购买
U018,P008,3,2023-12-02 15:25:00,服装,329,32,男,济南,浏览
U018,P024,5,2023-12-03 13:45:00,美妆,99,32,男,济南,购买
U018,P041,4,2023-12-04 16:55:00,家居,249,32,男,济南,购买
U019,P019,3,2023-12-01 11:20:00,电子产品,899,27,女,哈尔滨,购买
U019,P009,4,2023-12-02 16:40:00,图书,59,27,女,哈尔滨,购买
U019,P025,5,2023-12-03 12:35,家居,399,27,女,哈尔滨,购买
U019,P042,3,2023-12-04 17:20:00,图书,79,27,女,哈尔滨,浏览
U020,P020,5,2023-12-01 15:35:00,服装,399,33,男,石家庄,购买
U020,P010,4,2023-12-02 11:15:00,美妆,159,33,男,石家庄,购买
U020,P026,3,2023-12-03 14:50:00,美妆,129,33,男,石家庄,浏览
U020,P043,5,2023-12-04 10:25:00,家居,299,33,男,石家庄,购买
U021,P021,4,2023-12-05 09:30:00,电子产品,1299,28,女,北京,购买
U021,P011,5,2023-12-06 14:20:00,运动,299,28,女,北京,购买
U021,P027,3,2023-12-07 16:45:00,服装,459,28,女,北京,浏览
U021,P044,4,2023-12-08 12:10:00,图书,109,28,女,北京,购买
U022,P022,3,2023-12-05 11:45:00,美妆,199,35,男,上海,购买
U022,P012,4,2023-12-06 17:30:00,家居,399,35,男,上海,购买
U022,P028,5,2023-12-07 13:15:00,服装,299,35,男,上海,购买
U022,P045,3,2023-12-08 15:40:00,电子产品,1599,35,男,上海,浏览
U023,P023,5,2023-12-05 16:20:00,运动,399,24,女,广州,购买
U023,P013,4,2023-12-06 10:50:00,电子产品,1299,24,女,广州,购买
U023,P029,3,2023-12-07 14:35:00,运动,459,24,女,广州,浏览
U023,P046,5,2023-12-08 18:15:00,运动,359,24,女,广州,购买
U024,P024,4,2023-12-05 12:25:00,美妆,99,30,男,深圳,购买
U024,P014,3,2023-12-06 15:10:00,美妆,129,30,男,深圳,浏览
U024,P030,5,2023-12-07 11:40:00,美妆,119,30,男,深圳,购买
U024,P047,4,2023-12-08 16:30:00,图书,69,30,男,深圳,购买
U025,P025,3,2023-12-05 18:15:00,家居,399,26,女,杭州,购买
U025,P015,4,2023-12-06 13:45:00,服装,299,26,女,杭州,购买
U025,P031,5,2023-12-07 17:20:00,运动,199,26,女,杭州,购买
U025,P048,3,2023-12-08 14:55:00,图书,99,26,女,杭州,浏览
U026,P026,5,2023-12-05 10:40:00,美妆,129,31,男,成都,购买
U026,P016,4,2023-12-06 16:25:00,电子产品,1599,31,男,成都,购买
U026,P032,3,2023-12-07 12:50:00,图书,89,31,男,成都,浏览
U026,P049,5,2023-12-08 17:35:00,图书,129,31,男,成都,购买
U027,P027,4,2023-12-05 14:30:00,服装,459,29,女,武汉,购买
U027,P017,5,2023-12-06 11:20:00,服装,399,29,女,武汉,购买
U027,P033,3,2023-12-07 15:45:00,运动,299,29,女,武汉,浏览
U027,P050,4,2023-12-08 13:10:00,美妆,179,29,女,武汉,购买
U028,P028,3,2023-12-05 17:50:00,服装,299,27,男,西安,购买
U028,P018,4,2023-12-06 12:35:00,美妆,159,27,男,西安,购买
U028,P034,5,2023-12-07 18:20:00,运动,199,27,男,西安,购买
U028,P041,3,2023-12-08 11:45:00,家居,249,27,男,西安,浏览
U029,P029,5,2023-12-05 13:15:00,运动,459,32,女,南京,购买
U029,P019,4,2023-12-06 17:40:00,电子产品,899,32,女,南京,购买
U029,P035,3,2023-12-07 10:25:00,电子产品,799,32,女,南京,浏览
U029,P042,5,2023-12-08 15:50:00,图书,79,32,女,南京,购买
U030,P030,4,2023-12-05 15:25:00,美妆,119,25,男,重庆,购买
U030,P020,3,2023-12-06 14:10:00,服装,399,25,男,重庆,浏览
U030,P036,5,2023-12-07 16:35:00,电子产品,999,25,男,重庆,购买
U030,P043,4,2023-12-08 12:20:00,家居,299,25,男,重庆,购买
U001,P036,4,2023-12-05 10:15:00,电子产品,999,25,男,北京,浏览
U002,P037,5,2023-12-06 15:30:00,服装,359,32,女,上海,购买
U003,P038,3,2023-12-07 11:45:00,服装,259,28,男,广州,浏览
U004,P039,4,2023-12-08 17:20:00,家居,199,24,女,深圳,浏览
U005,P040,5,2023-12-09 13:35:00,家居,359,35,男,杭州,购买
U006,P041,3,2023-12-10 16:50:00,家居,249,29,女,成都,浏览
U007,P042,4,2023-12-11 12:25:00,图书,79,31,男,武汉,购买
U008,P043,5,2023-12-12 18:40:00,家居,299,26,女,西安,购买
U009,P044,3,2023-12-13 14:15:00,图书,109,33,男,南京,浏览
U010,P045,4,2023-12-14 11:30:00,电子产品,1599,27,女,重庆,购买
U011,P046,5,2023-12-15 17:45:00,运动,359,30,男,天津,购买
U012,P047,3,2023-12-16 13:20:00,图书,69,28,女,青岛,浏览
U013,P048,4,2023-12-17 16:35:00,图书,99,34,男,大连,购买
U014,P049,5,2023-12-18 12:50:00,图书,129,25,女,厦门,购买
U015,P050,3,2023-12-19 15:15:00,美妆,179,29,男,苏州,浏览
U016,P001,4,2023-12-20 11:40:00,电子产品,2999,31,女,长沙,购买
U017,P002,5,2023-12-21 18:25:00,服装,199,26,女,郑州,购买
U018,P003,3,2023-12-22 14:10:00,图书,45,32,男,济南,浏览
U019,P004,4,2023-12-23 17:55:00,美妆,89,27,女,哈尔滨,购买
U020,P005,5,2023-12-24 13:30:00,运动,599,33,男,石家庄,购买
U021,P006,3,2023-12-25 16:45:00,家居,299,28,女,北京,浏览
U022,P007,4,2023-12-26 12:20:00,电子产品,3999,35,男,上海,购买
U023,P008,5,2023-12-27 18:35:00,服装,329,24,女,广州,购买
U024,P009,3,2023-12-28 15:50:00,图书,59,30,男,深圳,浏览
U025,P010,4,2023-12-29 11:15:00,美妆,159,26,女,杭州,购买
U026,P011,5,2023-12-30 17:30:00,运动,299,31,男,成都,购买
U027,P012,3,2023-12-31 14:45:00,家居,399,29,女,武汉,浏览
U028,P013,4,2024-01-01 16:20:00,电子产品,1299,27,男,西安,购买
U029,P014,5,2024-01-02 12:35:00,美妆,129,32,女,南京,购买
U030,P015,3,2024-01-03 18:50:00,服装,299,25,男,重庆,浏览
